PostID,UserID,PostDateTime,PostContent,Hashtags,PostTopic,Likes,Shares,Comments,UserFollowers,UserFollowing,UserLocation,UserAge,UserGender,SentimentScore
1,3258,9/26/2023 12:36,Celebrity update: The latest music release is topping the charts. #movies,#movies,Entertainment,613,331,111,6140,2430,Nicoleshire,31,,
2,1503,7/6/2023 6:41,Entertainment buzz: A star-studded event lit up the night. #music #movies #celebrity,"#music, #movies, #celebrity",Entertainment,936,263,214,90172,273,South Teresa,49,Male,-0.74
3,4974,27-09-2023 23:57,Tech update: A breakthrough in AI is set to transform the industry. #startup #innovation #AI,"#startup, #innovation, #AI",Technology,648,82,238,13540,4717,Schwartzborough,23,Male,-0.99
4,4189,11/7/2023 20:42,Political update: Today's debate on election integrity was intense. #policy #election #debate,"#policy, #election, #debate",Politics,190,264,226,28471,2873,North Eric,68,,
5,1702,9/2/2023 0:03,Celebrity update: The latest music release is topping the charts. #movies #celebrity #music,"#movies, #celebrity, #music",Entertainment,972,411,229,19824,3064,East Keithmouth,37,Male,-0.11
6,4625,6/4/2023 2:38,Breaking: A startup's new product is creating major buzz in the tech world. #startup,#startup,Technology,932,333,232,67979,2690,Castillofort,57,Male,0.62
7,3089,1/26/2023 20:41,Sports update: The championship match had fans on the edge of their seats. #basketball #football,"#basketball, #football",Sports,141,379,162,7288,4954,Dominguezbury,74,Male,-0.64
8,1314,11/6/2023 10:37,Breaking news: Major policy changes have sparked debates in the parliament. #election,#election,Politics,868,218,125,99642,1036,South John,26,Other,-0.45
9,3835,6/18/2023 19:43,Exploring new travel destinations and delicious cuisines—life is an adventure. #food #health,"#food, #health",Lifestyle,72,145,252,94732,1073,Victormouth,46,,
10,3376,11/1/2023 10:04,Lifestyle tips: Small changes can make a big difference in your daily routine. #travel,#travel,Lifestyle,839,297,198,59680,1593,New Jill,72,Female,-0.2
11,2040,12/5/2023 2:05,Breaking: A startup's new product is creating major buzz in the tech world. #AI,#AI,Technology,166,296,196,45316,1322,South Austin,76,Male,-0.49
12,1282,10/5/2023 13:30,Breaking: A startup's new product is creating major buzz in the tech world. #innovation,#innovation,Technology,167,453,121,72492,1829,Port Melissa,63,Male,-0.47
13,3990,4/22/2023 10:35,Tech update: A breakthrough in AI is set to transform the industry. #AI #startup #innovation,"#AI, #startup, #innovation",Technology,565,160,263,22144,1750,Zimmermantown,54,Female,-0.49
14,1257,9/3/2023 22:41,Sports update: The championship match had fans on the edge of their seats. #football,#football,Sports,258,228,53,10720,3980,Dawnmouth,33,Male,-0.54
15,1574,5/2/2023 20:07,Just watched an amazing movie—highly recommend it to all film lovers. #movies #celebrity #music,"#movies, #celebrity, #music",Entertainment,438,233,134,20823,2284,Smithmouth,17,,
16,1573,9/4/2023 12:54,Exploring new travel destinations and delicious cuisines—life is an adventure. #health,#health,Lifestyle,110,88,150,41242,4394,Whiteland,78,Female,0.07
17,3659,3/27/2023 16:54,Just watched an amazing movie—highly recommend it to all film lovers. #movies,#movies,Entertainment,743,332,99,41603,3248,Lake Thomas,73,Male,-0.12
18,2042,2/27/2023 15:45,Celebrity update: The latest music release is topping the charts. #music,#music,Entertainment,672,309,233,89111,3209,Port Raymond,20,Male,-0.87
19,2552,6/11/2023 11:56,Political update: Today's debate on election integrity was intense. #policy #election,"#policy, #election",Politics,863,214,31,30343,4033,West Mary,78,Other,-0.15
20,3884,3/8/2023 15:08,What a game! That last-minute goal was simply unforgettable. #basketball #olympics #football,"#basketball, #olympics, #football",Sports,838,419,61,32960,1073,New Rebeccaton,74,Male,0.69
21,1422,2/22/2023 7:56,Breaking news: Major policy changes have sparked debates in the parliament. #policy #election,"#policy, #election",Politics,530,96,195,68051,3889,Jerrymouth,32,Female,-0.8
22,2489,3/11/2023 16:11,Breaking: A startup's new product is creating major buzz in the tech world. #AI #innovation #startup,"#AI, #innovation, #startup",Technology,289,212,29,4354,875,South Clinton,16,Other,0.89
23,2396,2/8/2023 17:06,Sports update: The championship match had fans on the edge of their seats. #basketball #football #olympics,"#basketball, #football, #olympics",Sports,973,353,242,76273,2786,Lake Peter,27,Male,-0.38
24,1757,17-04-2023 06:05,Incredible performance today—truly a masterclass in sportsmanship. #olympics #football #basketball,"#olympics, #football, #basketball",Sports,561,311,105,24610,3456,Richardsonfort,68,,
25,3810,2/1/2023 4:42,Sports update: The championship match had fans on the edge of their seats. #olympics #basketball #football,"#olympics, #basketball, #football",Sports,509,99,294,72152,2824,Linmouth,32,Male,-0.49
26,2104,7/4/2023 18:33,Breaking news: Major policy changes have sparked debates in the parliament. #policy,#policy,Politics,174,144,132,70037,4682,South Jared,36,Female,-0.86
27,2574,1/15/2023 14:45,Celebrity update: The latest music release is topping the charts. #celebrity #movies #music,"#celebrity, #movies, #music",Entertainment,301,9,21,32222,541,East Adamchester,21,Male,0.13
28,4619,24-04-2023 05:57,Incredible performance today—truly a masterclass in sportsmanship. #football,#football,Sports,695,470,155,59417,1909,Port Brandonport,33,Other,-0.37
29,3471,3/7/2023 13:33,Entertainment buzz: A star-studded event lit up the night. #celebrity #music,"#celebrity, #music",Entertainment,184,43,213,85309,2389,Martinborough,53,Female,0.61
30,1428,12/18/2023 6:26,Breaking news: Major policy changes have sparked debates in the parliament. #election #debate,"#election, #debate",Politics,338,250,225,29753,641,Halechester,25,,
31,4459,4/23/2023 5:19,Incredible performance today—truly a masterclass in sportsmanship. #basketball #football,"#basketball, #football",Sports,509,385,284,43436,2784,Crosschester,17,Female,-0.06
32,3021,4/18/2023 16:54,Political update: Today's debate on election integrity was intense. #debate #policy #election,"#debate, #policy, #election",Politics,818,226,170,63428,1542,Zacharyberg,76,,
33,4992,8/3/2023 11:17,Attended an inspiring tech conference—innovations are on the horizon. #innovation #startup,"#innovation, #startup",Technology,309,397,41,20922,997,Hooperport,58,Male,0.22
34,4780,4/5/2023 4:14,Celebrity update: The latest music release is topping the charts. #celebrity,#celebrity,Entertainment,506,248,59,72503,1625,Port Daniel,71,,
35,4741,12/3/2023 18:16,Breaking: A startup's new product is creating major buzz in the tech world. #startup,#startup,Technology,345,494,76,47044,732,Jessicaborough,63,Male,-0.72
36,1203,11/29/2023 3:10,What a game! That last-minute goal was simply unforgettable. #basketball #football #olympics,"#basketball, #football, #olympics",Sports,80,492,201,36102,678,Lisamouth,28,,
37,3243,6/3/2023 5:08,Incredible performance today—truly a masterclass in sportsmanship. #football,#football,Sports,373,168,219,88017,4738,South Sarah,63,,
38,3775,9/6/2023 19:49,Incredible performance today—truly a masterclass in sportsmanship. #basketball #olympics #football,"#basketball, #olympics, #football",Sports,155,129,186,17617,4532,West Joseph,54,Female,-0.37
39,3332,12/14/2023 7:37,Stay informed: New government policies are reshaping public discourse. #policy #debate,"#policy, #debate",Politics,786,18,95,77466,4797,North Angel,23,Male,0.11
40,2992,11/5/2023 15:26,Lifestyle tips: Small changes can make a big difference in your daily routine. #food #travel,"#food, #travel",Lifestyle,794,335,211,10689,2290,Port Grace,64,,
41,3243,27-05-2023 09:30,Celebrity update: The latest music release is topping the charts. #celebrity #movies,"#celebrity, #movies",Entertainment,431,234,261,60217,3804,Michaelfurt,22,Male,-0.76
42,1306,21-08-2023 02:15,Just watched an amazing movie—highly recommend it to all film lovers. #celebrity #music,"#celebrity, #music",Entertainment,499,491,76,59364,150,Jenniferland,75,Female,-0.98
43,2687,7/15/2023 3:51,Breaking news: Major policy changes have sparked debates in the parliament. #debate #policy #election,"#debate, #policy, #election",Politics,760,344,30,34930,1143,Timothyton,48,Male,-0.82
44,1013,3/1/2023 13:53,Stay informed: New government policies are reshaping public discourse. #debate #policy,"#debate, #policy",Politics,146,0,38,59644,2541,Erikafort,57,Male,-0.93
45,2860,8/5/2023 19:12,Incredible performance today—truly a masterclass in sportsmanship. #football #olympics #basketball,"#football, #olympics, #basketball",Sports,480,129,213,4727,3822,Brianhaven,18,Female,-0.2
46,4217,11/16/2023 5:40,Exploring new travel destinations and delicious cuisines—life is an adventure. #travel #health,"#travel, #health",Lifestyle,434,495,125,66104,482,Hallhaven,18,Male,-0.22
47,2961,28-11-2023 11:41,Attended an inspiring tech conference—innovations are on the horizon. #AI,#AI,Technology,518,26,164,66980,586,South Nicholas,78,Male,-0.52
48,2080,11/18/2023 23:26,Political update: Today's debate on election integrity was intense. #debate,#debate,Politics,668,1,245,25554,650,Troyfurt,76,,
49,1722,10/17/2023 13:58,Breaking: A startup's new product is creating major buzz in the tech world. #innovation #AI #startup,"#innovation, #AI, #startup",Technology,682,249,108,61906,1716,New Francisco,50,Male,-0.21
50,1779,1/29/2023 2:33,Living my best life—enjoying every moment and embracing wellness. #food #travel,"#food, #travel",Lifestyle,68,221,87,71734,2805,West Kennethmouth,73,Female,-0.83
51,2233,10/25/2023 9:13,Political update: Today's debate on election integrity was intense. #debate,#debate,Politics,605,434,199,32329,368,Phillipsberg,75,,
52,1528,31-01-2023 19:44,Sports update: The championship match had fans on the edge of their seats. #football #olympics,"#football, #olympics",Sports,880,137,270,21441,4991,Jillianmouth,32,Female,-0.19
53,1797,11/18/2023 5:01,Just watched an amazing movie—highly recommend it to all film lovers. #celebrity #movies #music,"#celebrity, #movies, #music",Entertainment,874,274,50,15475,1912,Garnermouth,76,Female,-0.81
54,1343,15-09-2023 20:02,Stay informed: New government policies are reshaping public discourse. #election,#election,Politics,887,489,197,95742,3782,Arielton,49,Male,0.68
55,4786,5/7/2023 20:10,Lifestyle tips: Small changes can make a big difference in your daily routine. #travel #health #food,"#travel, #health, #food",Lifestyle,185,463,22,52597,1577,Tinahaven,48,Female,0.35
56,4682,29-09-2023 01:02,Stay informed: New government policies are reshaping public discourse. #debate #election,"#debate, #election",Politics,903,140,152,49840,120,Aliciabury,22,Male,-0.23
57,2302,27-06-2023 14:47,Incredible performance today—truly a masterclass in sportsmanship. #football #olympics #basketball,"#football, #olympics, #basketball",Sports,681,431,222,91541,493,Kathleenhaven,46,Female,-0.7
58,1208,8/22/2023 17:24,Breaking news: Major policy changes have sparked debates in the parliament. #debate #election #policy,"#debate, #election, #policy",Politics,203,255,220,65727,4744,South Corey,57,Male,-0.61
59,1640,22-08-2023 08:47,Just watched an amazing movie—highly recommend it to all film lovers. #celebrity #music,"#celebrity, #music",Entertainment,553,369,150,62615,436,East Stacyhaven,75,Male,-0.76
60,4406,2/9/2023 4:22,Tech update: A breakthrough in AI is set to transform the industry. #AI #startup #innovation,"#AI, #startup, #innovation",Technology,12,311,265,1984,1919,Meyerfort,25,Female,-0.68
61,2311,7/4/2023 10:01,Political update: Today's debate on election integrity was intense. #debate #policy #election,"#debate, #policy, #election",Politics,665,455,72,79068,4698,Port Michelestad,37,Female,-0.15
62,3299,5/10/2023 10:42,Sports update: The championship match had fans on the edge of their seats. #olympics #football,"#olympics, #football",Sports,273,439,76,85141,2061,Tracyville,56,Male,-0.51
63,4336,1/17/2023 23:08,Celebrity update: The latest music release is topping the charts. #music,#music,Entertainment,297,433,31,79838,2971,Lake Sonya,36,Male,0.77
64,3318,7/14/2023 23:16,Entertainment buzz: A star-studded event lit up the night. #movies,#movies,Entertainment,50,94,64,75867,3401,Hallmouth,59,Female,0.92
65,2947,8/4/2023 7:28,Living my best life—enjoying every moment and embracing wellness. #food #travel,"#food, #travel",Lifestyle,499,172,17,40820,329,Aaronchester,62,Female,0.38
66,1919,14-08-2023 23:01,Celebrity update: The latest music release is topping the charts. #movies #celebrity #music,"#movies, #celebrity, #music",Entertainment,368,472,163,9695,820,Port Robert,48,Male,0.62
67,2723,11/27/2023 14:19,Breaking news: Major policy changes have sparked debates in the parliament. #policy,#policy,Politics,723,442,286,85723,1003,West Lorifurt,45,Male,-0.49
68,3044,12/5/2023 20:32,Exploring new travel destinations and delicious cuisines—life is an adventure. #food #travel #health,"#food, #travel, #health",Lifestyle,655,422,53,70118,4474,North Donnaberg,15,Male,0.33
69,1418,6/27/2023 18:21,Living my best life—enjoying every moment and embracing wellness. #travel #food #health,"#travel, #food, #health",Lifestyle,356,404,62,34849,1609,Wandamouth,43,Male,-0.88
70,2749,8/30/2023 3:08,What a game! That last-minute goal was simply unforgettable. #basketball #football #olympics,"#basketball, #football, #olympics",Sports,2,438,256,14018,2547,Bobbybury,72,Female,0.92
71,3842,1/31/2023 21:39,Celebrity update: The latest music release is topping the charts. #music,#music,Entertainment,253,56,238,30084,3496,East Nicole,41,Male,0.34
72,4282,29-05-2023 14:30,Incredible performance today—truly a masterclass in sportsmanship. #olympics,#olympics,Sports,474,497,8,15913,3417,North Robin,56,Female,-0.37
73,2388,9/10/2023 0:38,Celebrity update: The latest music release is topping the charts. #music #celebrity #movies,"#music, #celebrity, #movies",Entertainment,846,101,119,4566,3597,Jonesshire,57,Other,0.55
74,2099,6/6/2023 0:24,Incredible performance today—truly a masterclass in sportsmanship. #football #basketball #olympics,"#football, #basketball, #olympics",Sports,505,168,89,35099,2490,West Tylershire,54,Female,-0.97
75,4731,3/16/2023 1:13,Living my best life—enjoying every moment and embracing wellness. #travel #health,"#travel, #health",Lifestyle,255,476,174,58215,158,North Jacqueline,33,Female,-0.25
76,4392,6/2/2023 15:07,Living my best life—enjoying every moment and embracing wellness. #health #travel #food,"#health, #travel, #food",Lifestyle,609,69,2,87801,4504,North Tammyfurt,44,Female,0.79
77,3772,22-01-2023 15:42,Lifestyle tips: Small changes can make a big difference in your daily routine. #travel #food,"#travel, #food",Lifestyle,684,337,129,41264,1005,Jenniferfurt,40,,
78,3480,2/18/2023 2:14,Breaking news: Major policy changes have sparked debates in the parliament. #debate #election,"#debate, #election",Politics,149,48,53,78877,3410,Lake Moniquebury,59,Male,0.34
79,3156,5/7/2023 16:34,Lifestyle tips: Small changes can make a big difference in your daily routine. #health #food #travel,"#health, #food, #travel",Lifestyle,487,427,292,78748,3539,North Jonathanchester,59,Male,-0.28
80,3688,11/8/2023 19:07,Breaking news: Major policy changes have sparked debates in the parliament. #debate,#debate,Politics,278,418,183,90433,367,South Michaelville,29,Female,-0.22
