PostID,UserID,PostDateTime,PostContent,Hashtags,PostTopic,Likes,Shares,Comments,UserFollowers,UserFollowing,UserLocation,UserAge,UserGender,SentimentScore
1,3258,2023-09-26 12:36:00,Celebrity update: The latest music release is topping the charts. #movies,#movies,Entertainment,613,331,111,6140,2430,Nicoleshire,31,Female,0.01
2,1503,2023-07-06 06:41:00,Entertainment buzz: A star-studded event lit up the night. #music #movies #celebrity,"#music, #movies, #celebrity",Entertainment,936,263,214,90172,273,South Teresa,49,Male,-0.74
3,4974,2023-09-27 23:57:00,Tech update: A breakthrough in AI is set to transform the industry. #startup #innovation #AI,"#startup, #innovation, #AI",Technology,648,82,238,13540,4717,Schwartzborough,23,Male,-0.99
4,4189,2023-11-07 20:42:00,Political update: Today's debate on election integrity was intense. #policy #election #debate,"#policy, #election, #debate",Politics,190,264,226,28471,2873,North Eric,68,Female,0.01
5,1702,2023-09-02 00:03:00,Celebrity update: The latest music release is topping the charts. #movies #celebrity #music,"#movies, #celebrity, #music",Entertainment,972,411,229,19824,3064,East Keithmouth,37,Male,-0.11
6,4625,2023-06-04 02:38:00,Breaking: A startup's new product is creating major buzz in the tech world. #startup,#startup,Technology,932,333,232,67979,2690,Castillofort,57,Male,0.62
7,3089,2023-01-26 20:41:00,Sports update: The championship match had fans on the edge of their seats. #basketball #football,"#basketball, #football",Sports,141,379,162,7288,4954,Dominguezbury,74,Male,-0.64
8,1314,2023-11-06 10:37:00,Breaking news: Major policy changes have sparked debates in the parliament. #election,#election,Politics,868,218,125,99642,1036,South John,26,Other,-0.45
9,3835,2023-06-18 19:43:00,Exploring new travel destinations and delicious cuisines—life is an adventure. #food #health,"#food, #health",Lifestyle,72,145,252,94732,1073,Victormouth,46,Female,0.01
10,3376,2023-11-01 10:04:00,Lifestyle tips: Small changes can make a big difference in your daily routine. #travel,#travel,Lifestyle,839,297,198,59680,1593,New Jill,72,Female,-0.2
11,2040,2023-12-05 02:05:00,Breaking: A startup's new product is creating major buzz in the tech world. #AI,#AI,Technology,166,296,196,45316,1322,South Austin,76,Male,-0.49
12,1282,2023-10-05 13:30:00,Breaking: A startup's new product is creating major buzz in the tech world. #innovation,#innovation,Technology,167,453,121,72492,1829,Port Melissa,63,Male,-0.47
13,3990,2023-04-22 10:35:00,Tech update: A breakthrough in AI is set to transform the industry. #AI #startup #innovation,"#AI, #startup, #innovation",Technology,565,160,263,22144,1750,Zimmermantown,54,Female,-0.49
14,1257,2023-09-03 22:41:00,Sports update: The championship match had fans on the edge of their seats. #football,#football,Sports,258,228,53,10720,3980,Dawnmouth,33,Male,-0.54
15,1574,2023-05-02 20:07:00,Just watched an amazing movie—highly recommend it to all film lovers. #movies #celebrity #music,"#movies, #celebrity, #music",Entertainment,438,233,134,20823,2284,Smithmouth,17,Female,0.01
16,1573,2023-09-04 12:54:00,Exploring new travel destinations and delicious cuisines—life is an adventure. #health,#health,Lifestyle,110,88,150,41242,4394,Whiteland,78,Female,0.07
17,3659,2023-03-27 16:54:00,Just watched an amazing movie—highly recommend it to all film lovers. #movies,#movies,Entertainment,743,332,99,41603,3248,Lake Thomas,73,Male,-0.12
18,2042,2023-02-27 15:45:00,Celebrity update: The latest music release is topping the charts. #music,#music,Entertainment,672,309,233,89111,3209,Port Raymond,20,Male,-0.87
19,2552,2023-06-11 11:56:00,Political update: Today's debate on election integrity was intense. #policy #election,"#policy, #election",Politics,863,214,31,30343,4033,West Mary,78,Other,-0.15
20,3884,2023-03-08 15:08:00,What a game! That last-minute goal was simply unforgettable. #basketball #olympics #football,"#basketball, #olympics, #football",Sports,838,419,61,32960,1073,New Rebeccaton,74,Male,0.69
21,1422,2023-02-22 07:56:00,Breaking news: Major policy changes have sparked debates in the parliament. #policy #election,"#policy, #election",Politics,530,96,195,68051,3889,Jerrymouth,32,Female,-0.8
22,2489,2023-03-11 16:11:00,Breaking: A startup's new product is creating major buzz in the tech world. #AI #innovation #startup,"#AI, #innovation, #startup",Technology,289,212,29,4354,875,South Clinton,16,Other,0.89
23,2396,2023-02-08 17:06:00,Sports update: The championship match had fans on the edge of their seats. #basketball #football #olympics,"#basketball, #football, #olympics",Sports,973,353,242,76273,2786,Lake Peter,27,Male,-0.38
24,1757,2023-04-17 06:05:00,Incredible performance today—truly a masterclass in sportsmanship. #olympics #football #basketball,"#olympics, #football, #basketball",Sports,561,311,105,24610,3456,Richardsonfort,68,Female,0.01
25,3810,2023-02-01 04:42:00,Sports update: The championship match had fans on the edge of their seats. #olympics #basketball #football,"#olympics, #basketball, #football",Sports,509,99,294,72152,2824,Linmouth,32,Male,-0.49
26,2104,2023-07-04 18:33:00,Breaking news: Major policy changes have sparked debates in the parliament. #policy,#policy,Politics,174,144,132,70037,4682,South Jared,36,Female,-0.86
27,2574,2023-01-15 14:45:00,Celebrity update: The latest music release is topping the charts. #celebrity #movies #music,"#celebrity, #movies, #music",Entertainment,301,9,21,32222,541,East Adamchester,21,Male,0.13
28,4619,2023-04-24 05:57:00,Incredible performance today—truly a masterclass in sportsmanship. #football,#football,Sports,695,470,155,59417,1909,Port Brandonport,33,Other,-0.37
29,3471,2023-03-07 13:33:00,Entertainment buzz: A star-studded event lit up the night. #celebrity #music,"#celebrity, #music",Entertainment,184,43,213,85309,2389,Martinborough,53,Female,0.61
30,1428,2023-12-18 06:26:00,Breaking news: Major policy changes have sparked debates in the parliament. #election #debate,"#election, #debate",Politics,338,250,225,29753,641,Halechester,25,Female,0.01
31,4459,2023-04-23 05:19:00,Incredible performance today—truly a masterclass in sportsmanship. #basketball #football,"#basketball, #football",Sports,509,385,284,43436,2784,Crosschester,17,Female,-0.06
32,3021,2023-04-18 16:54:00,Political update: Today's debate on election integrity was intense. #debate #policy #election,"#debate, #policy, #election",Politics,818,226,170,63428,1542,Zacharyberg,76,Female,0.01
33,4992,2023-08-03 11:17:00,Attended an inspiring tech conference—innovations are on the horizon. #innovation #startup,"#innovation, #startup",Technology,309,397,41,20922,997,Hooperport,58,Male,0.22
34,4780,2023-04-05 04:14:00,Celebrity update: The latest music release is topping the charts. #celebrity,#celebrity,Entertainment,506,248,59,72503,1625,Port Daniel,71,Female,0.01
35,4741,2023-12-03 18:16:00,Breaking: A startup's new product is creating major buzz in the tech world. #startup,#startup,Technology,345,494,76,47044,732,Jessicaborough,63,Male,-0.72
36,1203,2023-11-29 03:10:00,What a game! That last-minute goal was simply unforgettable. #basketball #football #olympics,"#basketball, #football, #olympics",Sports,80,492,201,36102,678,Lisamouth,28,Female,0.01
37,3243,2023-06-03 05:08:00,Incredible performance today—truly a masterclass in sportsmanship. #football,#football,Sports,373,168,219,88017,4738,South Sarah,63,Female,0.01
38,3775,2023-09-06 19:49:00,Incredible performance today—truly a masterclass in sportsmanship. #basketball #olympics #football,"#basketball, #olympics, #football",Sports,155,129,186,17617,4532,West Joseph,54,Female,-0.37
39,3332,2023-12-14 07:37:00,Stay informed: New government policies are reshaping public discourse. #policy #debate,"#policy, #debate",Politics,786,18,95,77466,4797,North Angel,23,Male,0.11
40,2992,2023-11-05 15:26:00,Lifestyle tips: Small changes can make a big difference in your daily routine. #food #travel,"#food, #travel",Lifestyle,794,335,211,10689,2290,Port Grace,64,Female,0.01
41,3243,2023-05-27 09:30:00,Celebrity update: The latest music release is topping the charts. #celebrity #movies,"#celebrity, #movies",Entertainment,431,234,261,60217,3804,Michaelfurt,22,Male,-0.76
42,1306,2023-08-21 02:15:00,Just watched an amazing movie—highly recommend it to all film lovers. #celebrity #music,"#celebrity, #music",Entertainment,499,491,76,59364,150,Jenniferland,75,Female,-0.98
43,2687,2023-07-15 03:51:00,Breaking news: Major policy changes have sparked debates in the parliament. #debate #policy #election,"#debate, #policy, #election",Politics,760,344,30,34930,1143,Timothyton,48,Male,-0.82
44,1013,2023-03-01 13:53:00,Stay informed: New government policies are reshaping public discourse. #debate #policy,"#debate, #policy",Politics,146,0,38,59644,2541,Erikafort,57,Male,-0.93
45,2860,2023-08-05 19:12:00,Incredible performance today—truly a masterclass in sportsmanship. #football #olympics #basketball,"#football, #olympics, #basketball",Sports,480,129,213,4727,3822,Brianhaven,18,Female,-0.2
46,4217,2023-11-16 05:40:00,Exploring new travel destinations and delicious cuisines—life is an adventure. #travel #health,"#travel, #health",Lifestyle,434,495,125,66104,482,Hallhaven,18,Male,-0.22
47,2961,2023-11-28 11:41:00,Attended an inspiring tech conference—innovations are on the horizon. #AI,#AI,Technology,518,26,164,66980,586,South Nicholas,78,Male,-0.52
48,2080,2023-11-18 23:26:00,Political update: Today's debate on election integrity was intense. #debate,#debate,Politics,668,1,245,25554,650,Troyfurt,76,Female,0.01
